# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = WSLS_model
# start_datetime = 2024-03-06 10:36:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpyU5IGk/standata-4f1077b72f55.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-202403061136-1-4cb121.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-profile-202403061136-1-0e0b63.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=WSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,winprob,lossprob
# Adaptation terminated
# Step size = 0.29112
# Diagonal elements of inverse mass matrix:
# 0.21494, 0.0831789
-59.5816,0.992836,0.29112,3,7,0,60.7983,1.86354,1.14494
-57.8218,1,0.29112,3,15,0,59.9089,3.12491,1.30527
-58.5407,0.989832,0.29112,3,15,0,59.4361,2.19394,1.45392
-58.1241,0.997003,0.29112,4,15,0,59.729,3.29673,1.19159
-57.7555,0.999634,0.29112,3,15,0,58.3722,2.42702,1.36029
-58.4167,0.994216,0.29112,3,15,0,58.4863,3.03969,0.846878
-57.5745,1,0.29112,3,15,0,58.6111,2.46282,1.12775
-58.5735,0.975352,0.29112,3,15,0,59.3999,3.43089,1.0838
-58.8687,0.994871,0.29112,4,15,0,60.2287,2.07308,0.983686
-58.3495,0.999934,0.29112,3,7,0,59.1744,2.35511,0.889298
-58.5203,0.988034,0.29112,3,15,0,59.9809,3.35125,0.99979
-59.3276,0.994141,0.29112,3,7,0,59.5464,3.66937,1.11252
-57.8156,0.984507,0.29112,2,7,0,61.1537,3.1223,1.30423
-59.2786,0.977411,0.29112,3,7,0,59.6175,2.90133,1.75299
-58.0364,1,0.29112,3,7,0,59.4798,2.52953,1.50619
-58.5641,0.976502,0.29112,4,15,0,60.7309,2.82628,0.775486
-59.6983,0.987378,0.29112,3,7,0,59.895,3.13755,0.65762
-61.6997,0.961463,0.29112,3,7,0,63.5688,3.78065,0.647815
-58.03,0.997187,0.29112,3,15,0,62.2695,2.95909,1.49209
-58.0097,0.99989,0.29112,4,15,0,58.4393,2.47104,0.926815
-58.0221,0.999301,0.29112,3,7,0,58.313,2.70462,0.881082
-58.8694,0.988829,0.29112,3,15,0,59.2143,2.19788,0.861668
-58.8488,1,0.29112,1,1,0,58.898,2.20112,0.864077
-58.5984,0.999844,0.29112,3,7,0,59.0339,2.30462,0.857155
-57.5776,0.997812,0.29112,3,7,0,59.1093,3,1.14088
-57.5864,0.999589,0.29112,4,15,0,57.8227,2.51808,1.06627
-57.4242,0.99022,0.29112,3,11,0,58.3953,2.86119,1.16344
-58.7805,0.976194,0.29112,3,7,0,59.1661,2.8139,1.68032
-58.1528,0.999857,0.29112,4,15,0,59.377,2.29746,0.984888
-59.0847,0.980783,0.29112,4,15,0,60.1829,2.17589,1.58097
-57.585,0.998054,0.29112,3,7,0,59.3986,2.83694,1.02983
-58.4338,0.968738,0.29112,2,7,0,60.0703,2.31166,0.892032
-61.4094,0.95788,0.29112,3,15,0,62.3792,2.73608,0.418198
-60.3673,0.995948,0.29112,2,3,0,61.8304,2.78678,0.525953
-59.6681,0.994722,0.29112,4,15,0,62.7049,1.91253,1.44407
-58.8556,0.994629,0.29112,1,3,0,60.0182,2.06403,1.40085
-59.2694,0.996486,0.29112,4,15,0,60.8874,3.28229,1.64155
-57.5334,0.996824,0.29112,3,11,0,59.9484,2.84581,1.05831
-58.9503,0.980992,0.29112,3,7,0,59.1749,2.18141,0.855127
-58.7711,0.999306,0.29112,2,3,0,59.0335,2.21952,0.869258
-57.9872,1,0.29112,3,7,0,58.8633,2.53578,0.912223
-57.4197,0.994442,0.29112,2,7,0,58.4998,2.69107,1.10956
-57.7812,0.990493,0.29112,3,11,0,58.1795,3.13847,1.17594
-57.8702,0.974404,0.29112,2,7,0,60.8109,2.56701,0.937139
-57.9884,0.998029,0.29112,3,15,0,58.3394,3.16024,1.36473
-58.2426,0.988242,0.29112,3,7,0,59.0535,2.95753,1.54759
-57.8436,0.999987,0.29112,3,15,0,58.3413,2.72925,1.47845
-57.9002,0.974622,0.29112,4,15,0,61.1002,3.1136,1.03751
-58.3295,0.996141,0.29112,3,7,0,58.4495,3.31887,1.0465
-59.0046,0.990502,0.29112,2,3,0,59.0333,3.53611,1.02772
-58.0097,0.994198,0.29112,3,7,0,59.8895,2.85139,0.894642
-58.3999,0.995715,0.29112,3,7,0,58.5117,2.7129,0.800566
-57.3915,0.992565,0.29112,3,11,0,59.277,2.65914,1.25081
-57.4572,0.997957,0.29112,4,15,0,57.635,2.83797,1.29469
-57.6665,0.997473,0.29112,3,15,0,57.708,2.71313,1.4203
-58.4974,0.986369,0.29112,3,15,0,59.0201,2.10523,1.10968
-59.1755,0.990763,0.29112,3,11,0,59.4044,3.61121,1.32985
-57.961,0.997094,0.29112,2,7,0,59.7218,3.2186,1.25629
-57.6882,0.99779,0.29112,4,15,0,58.4986,2.4603,1.05005
-60.0769,0.955791,0.29112,3,7,0,60.8512,3.10994,0.601081
-57.8545,1,0.29112,3,7,0,60.3712,3.06269,1.38304
-57.8701,0.999756,0.29112,4,15,0,58.1274,2.57206,0.935979
-57.5939,0.999998,0.29112,3,7,0,57.9983,2.81302,1.0203
-58.1477,0.993645,0.29112,3,15,0,58.3952,2.25544,1.37172
-57.8776,0.999028,0.29112,3,7,0,58.3934,2.4669,1.43513
-58.0773,0.995501,0.29112,2,3,0,58.1472,2.47839,1.50111
-58.5942,0.990447,0.29112,3,7,0,59.1285,2.15894,1.43394
-59.8804,0.939549,0.29112,1,3,0,61.2326,1.91417,1.5097
-58.1011,0.99152,0.29112,3,7,0,61.11,2.93997,0.890627
-58.4199,0.99801,0.29112,4,15,0,58.9812,2.9663,1.58566
-58.4517,0.999791,0.29112,2,3,0,58.4622,2.96399,1.59307
-58.464,0.999693,0.29112,3,7,0,58.6298,3.06561,1.56495
-58.2046,0.999629,0.29112,3,15,0,58.7059,2.30883,0.958151
-57.9441,0.997981,0.29112,3,7,0,58.4605,2.39619,0.984975
-58.2405,0.988467,0.29112,4,15,0,59.0593,3.18476,0.959268
-58.7401,0.988429,0.29112,4,15,0,60.1146,2.03341,1.16407
-58.0274,0.995691,0.29112,4,15,0,59.7367,2.92992,0.9068
-58.1049,0.998179,0.29112,3,7,0,58.505,3.21466,1.03547
-59.6585,0.9772,0.29112,3,7,0,60.1603,3.20774,0.683475
-59.5506,0.991574,0.29112,3,7,0,60.8536,2.83721,0.626901
-59.8552,0.994399,0.29112,2,3,0,60.0067,2.75969,0.584563
-58.8645,0.999311,0.29112,2,3,0,60.0017,2.62211,0.724139
-57.9068,0.998935,0.29112,4,15,0,59.688,2.27736,1.20209
-58.0401,0.997826,0.29112,3,7,0,58.2291,2.25465,1.09223
-58.2113,0.991884,0.29112,3,15,0,59.2786,2.70726,1.57217
-57.5404,0.998477,0.29112,3,7,0,58.616,2.46863,1.16655
-57.4884,0.993037,0.29112,2,7,0,58.1032,2.94096,1.22113
-57.7809,0.995694,0.29112,4,15,0,58.0633,2.75699,0.946784
-58.0277,0.991587,0.29112,1,3,0,58.2153,2.76345,0.880777
-58.1494,0.983307,0.29112,4,15,0,60.2273,3.03076,1.49955
-58.0297,0.98709,0.29112,3,11,0,59.5702,2.61378,0.886082
-59.619,0.981061,0.29112,4,15,0,60.4481,2.99344,1.78934
-59.8436,0.998278,0.29112,2,3,0,59.9538,2.94445,1.82958
-59.0917,0.999362,0.29112,2,3,0,59.9845,2.80496,1.7334
-59.2262,0.997476,0.29112,1,1,0,59.2285,2.81756,1.75375
-59.2503,0.999717,0.29112,4,15,0,59.851,2.82042,0.666542
-58.2765,0.99941,0.29112,2,3,0,59.3422,2.85291,0.833972
-58.5015,0.998777,0.29112,4,15,0,59.204,3.17567,1.52596
-57.9241,1,0.29112,4,15,0,58.9575,2.30896,1.32319
-58.8254,0.977137,0.29112,3,7,0,59.5576,2.16283,1.50805
-58.2125,0.990656,0.29112,1,3,0,59.3402,2.31599,1.45447
-59.959,0.976893,0.29112,3,7,0,59.9593,1.97338,1.59691
-61.9796,0.957577,0.29112,2,3,0,62.2104,1.81327,1.79753
-61.4431,0.999092,0.29112,3,7,0,62.2242,1.88511,1.77847
-58.1676,1,0.29112,3,7,0,61.6776,2.99107,0.888886
-57.6568,0.986295,0.29112,2,7,0,59.4067,2.83037,0.99825
-58.5652,0.987673,0.29112,3,7,0,58.9344,2.39475,0.824088
-58.5458,0.998444,0.29112,4,15,0,59.2946,3.14152,1.5532
-61.4488,0.974616,0.29112,3,7,0,62.2264,1.76134,1.65956
-61.2325,0.995988,0.29112,2,3,0,61.8416,1.80962,1.67445
-61.2348,0.995972,0.29112,3,7,0,62.6301,2.05894,1.86399
-61.0543,0.971266,0.29112,3,7,0,64.039,1.69853,1.47488
-59.0902,0.999373,0.29112,4,15,0,61.3622,3.60385,1.115
-58.8694,0.999955,0.29112,3,7,0,59.1862,3.51573,1.06246
-58.0789,0.987408,0.29112,2,7,0,60.4294,3.25331,1.10307
-58.21,0.997649,0.29112,4,15,0,58.7022,2.46161,1.52993
-57.4439,0.998734,0.29112,3,11,0,58.4484,2.56492,1.24988
-57.4175,0.991373,0.29112,3,11,0,58.0631,2.85252,1.16523
-57.3889,0.996223,0.29112,2,7,0,57.7606,2.63593,1.22843
-57.4063,0.996716,0.29112,2,7,0,57.6439,2.83378,1.23491
-57.4015,0.998746,0.29112,4,15,0,57.5797,2.60767,1.17702
-57.8298,0.991137,0.29112,3,7,0,58.0239,2.35414,1.32665
-57.3668,0.997289,0.29112,3,11,0,58.1003,2.73733,1.19623
-57.4455,0.998419,0.29112,3,11,0,57.4836,2.88406,1.24492
-57.7245,0.995795,0.29112,3,15,0,57.9203,3.01791,1.04926
-58.7757,0.983923,0.29112,3,7,0,59.3131,2.27365,0.835403
-58.3548,0.996792,0.29112,3,11,0,59.3053,3.23447,1.44757
-58.0938,0.999872,0.29112,3,7,0,58.6545,2.93695,1.51595
