# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_SimpleBernoulli_model
# start_datetime = 2024-02-26 09:28:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac701461c4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-202402261028-1-0a37f7.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-profile-202402261028-1-594215.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_SimpleBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.236001
# Diagonal elements of inverse mass matrix:
# 0.0593235
-62.8717,1,0.236001,2,3,0,63.1088,0.843394
-62.6141,0.998616,0.236001,3,7,0,63.1473,0.837124
-62.6165,0.999967,0.236001,1,1,0,62.6263,0.837189
-61.9485,0.998354,0.236001,2,7,0,62.8859,0.809153
-62.0919,0.990821,0.236001,4,15,0,63.4966,0.818609
-62.017,0.999183,0.236001,3,7,0,62.2075,0.814307
-62.2775,0.995371,0.236001,2,5,0,62.4161,0.826655
-62.0509,0.999574,0.236001,2,5,0,62.3556,0.816371
-61.9151,0.994805,0.236001,2,7,0,62.6937,0.805708
-63.8478,0.982715,0.236001,3,9,0,64.1421,0.716572
-62.4872,0.999516,0.236001,3,9,0,64.0025,0.833573
-62.4613,1,0.236001,2,3,0,62.4876,0.832798
-61.8876,0.990015,0.236001,2,7,0,63.745,0.80155
-61.8883,0.999968,0.236001,2,3,0,61.8906,0.801692
-61.8718,0.999684,0.236001,3,11,0,61.9329,0.795491
-61.8732,0.999979,0.236001,3,11,0,61.8742,0.793107
-61.9189,0.999265,0.236001,3,15,0,61.95,0.806159
-61.9198,0.999986,0.236001,1,1,0,61.9202,0.806263
-61.879,0.988602,0.236001,3,11,0,63.28,0.790641
-62.0465,0.998143,0.236001,3,15,0,62.0668,0.772921
-62.4485,0.991736,0.236001,2,5,0,62.6604,0.75405
-62.4735,0.999487,0.236001,2,3,0,62.506,0.753132
-61.9664,0.99598,0.236001,3,11,0,63.1069,0.810672
-62.1683,0.998013,0.236001,4,15,0,62.3259,0.822247
-61.9412,0.998508,0.236001,4,15,0,62.5156,0.78124
-61.9144,0.998888,0.236001,3,11,0,62.0977,0.805622
-61.916,0.999996,0.236001,3,7,0,61.9161,0.805813
-61.8753,0.997479,0.236001,2,7,0,62.2343,0.798178
-63.4894,0.988555,0.236001,4,15,0,63.6163,0.724507
-64.2158,0.979157,0.236001,1,3,0,64.7379,0.709065
-64.2063,1,0.236001,1,1,0,64.2564,0.709251
-61.9149,0.993279,0.236001,3,13,0,65.2941,0.805687
-61.9145,0.999588,0.236001,3,9,0,61.9902,0.784257
-61.9968,0.99852,0.236001,3,11,0,62.0993,0.81295
-61.9505,0.99347,0.236001,4,15,0,63.1643,0.780325
-62.0839,0.99498,0.236001,3,15,0,62.4757,0.770608
-62.0038,0.999123,0.236001,2,5,0,62.1782,0.775881
-61.872,0.999039,0.236001,2,7,0,62.1186,0.794275
-61.8808,0.999136,0.236001,2,7,0,61.97,0.790115
-62.0911,0.997791,0.236001,3,13,0,62.1053,0.818565
-62.1108,0.999779,0.236001,2,3,0,62.1173,0.819563
-62.1327,0.9995,0.236001,3,7,0,62.1944,0.820622
-62.4084,0.996692,0.236001,2,5,0,62.4881,0.831154
-62.4195,0.999671,0.236001,3,7,0,62.4927,0.831507
-62.569,0.997219,0.236001,1,3,0,62.6524,0.835903
-62.587,0.999751,0.236001,1,1,0,62.5904,0.836395
-62.0834,0.993205,0.236001,3,15,0,63.7035,0.770637
-62.1851,0.986713,0.236001,3,9,0,63.7045,0.822978
-62.2157,0.999674,0.236001,2,3,0,62.224,0.824253
-62.2946,0.999093,0.236001,2,3,0,62.2954,0.827286
-62.112,0.997748,0.236001,2,5,0,62.6154,0.819621
-62.0659,0.99997,0.236001,3,7,0,62.1253,0.817217
-61.9737,0.992146,0.236001,4,15,0,63.5377,0.811254
-62.0908,0.995943,0.236001,2,7,0,62.3793,0.818552
-61.8989,0.991667,0.236001,3,9,0,63.4525,0.786465
-63.3998,0.950028,0.236001,2,7,0,66.4305,0.726612
-63.5116,0.997758,0.236001,1,1,0,63.5119,0.723993
-63.6234,0.997748,0.236001,1,1,0,63.6241,0.721457
-63.617,1,0.236001,1,1,0,63.6535,0.7216
-62.9648,0.999955,0.236001,3,7,0,63.6457,0.737728
-61.9082,0.99993,0.236001,4,15,0,63.0017,0.785099
-62.6393,0.992067,0.236001,3,13,0,62.7095,0.747446
-62.832,0.997209,0.236001,2,3,0,62.837,0.741509
-62.4213,0.994389,0.236001,2,5,0,63.3912,0.755066
-62.3895,1,0.236001,2,3,0,62.421,0.75629
-63.2383,0.992792,0.236001,3,9,0,63.4941,0.850866
-63.3102,0.999196,0.236001,2,3,0,63.359,0.852186
-63.2966,1,0.236001,1,1,0,63.3238,0.851938
-63.2307,1,0.236001,1,1,0,63.2962,0.850724
-63.2755,0.999428,0.236001,1,1,0,63.279,0.851554
-62.8958,0.997431,0.236001,1,3,0,63.6146,0.84393
-61.8917,0.999354,0.236001,3,9,0,63.1272,0.802328
-61.9345,0.998001,0.236001,2,7,0,62.094,0.807826
-61.9982,0.998353,0.236001,3,15,0,62.1377,0.813046
-61.9608,0.999695,0.236001,1,3,0,62.0312,0.810215
-61.8784,0.998607,0.236001,4,15,0,62.2189,0.790819
-62.7405,0.968959,0.236001,2,7,0,64.7419,0.744253
-62.9382,0.995456,0.236001,2,3,0,63.0325,0.738469
-62.9254,1,0.236001,1,1,0,62.9517,0.738826
-61.8872,1,0.236001,3,15,0,62.9178,0.801474
-61.934,0.999558,0.236001,3,15,0,61.9405,0.80778
-61.9351,0.999984,0.236001,1,1,0,61.9356,0.807885
-62.571,0.994413,0.236001,3,15,0,62.6324,0.83596
-61.9691,0.999221,0.236001,3,9,0,62.763,0.810895
-61.9473,0.999896,0.236001,1,3,0,61.9806,0.809044
-61.8784,0.995949,0.236001,3,11,0,62.4749,0.799292
-68.5318,0.951947,0.236001,4,15,0,69.5791,0.643681
-69.0331,0.988449,0.236001,1,1,0,69.0371,0.637556
-67.7453,1,0.236001,3,7,0,69.1222,0.653717
-67.5896,1,0.236001,2,3,0,67.7987,0.655773
-67.4967,0.996513,0.236001,2,3,0,68.039,0.657011
-66.1094,0.994733,0.236001,1,3,0,68.0272,0.676717
-64.8927,0.999183,0.236001,3,7,0,66.3446,0.696506
-64.235,1,0.236001,2,3,0,64.8946,0.708688
-63.6174,0.996364,0.236001,1,3,0,64.5418,0.721591
-63.6111,1,0.236001,1,1,0,63.6474,0.721732
-63.4819,1,0.236001,1,1,0,63.6085,0.724682
-61.9029,0.995116,0.236001,3,13,0,64.2623,0.804113
-61.9296,0.999776,0.236001,3,7,0,61.9296,0.807328
-62.0492,0.997757,0.236001,2,5,0,62.1193,0.816272
-61.8812,0.999933,0.236001,3,11,0,62.0686,0.800098
-62.2007,0.99567,0.236001,3,11,0,62.3964,0.764408
-62.711,0.995056,0.236001,3,11,0,62.8693,0.839611
-62.9653,0.995167,0.236001,1,3,0,63.1378,0.845437
-62.0007,0.999776,0.236001,3,15,0,62.9825,0.77611
-61.9672,0.997892,0.236001,3,9,0,62.3273,0.810739
-63.6876,0.970548,0.236001,2,7,0,64.777,0.858532
-63.6455,1,0.236001,1,1,0,63.6952,0.857867
-63.5538,0.999787,0.236001,2,3,0,63.7014,0.856384
-61.9034,0.999919,0.236001,4,15,0,63.6229,0.785787
-61.9021,1,0.236001,1,1,0,61.9034,0.785971
-62.2292,0.996975,0.236001,4,15,0,62.3562,0.763063
-61.9239,0.999336,0.236001,3,15,0,62.3832,0.806715
-61.9069,0.999861,0.236001,2,5,0,61.941,0.804668
-62.039,0.989516,0.236001,4,15,0,63.5844,0.773418
-62.122,0.994166,0.236001,3,15,0,62.7258,0.82011
-62.1254,0.999983,0.236001,2,3,0,62.1278,0.820274
-62.1396,0.99979,0.236001,1,1,0,62.1396,0.820944
-64.1192,0.980746,0.236001,3,9,0,64.977,0.864858
-63.0248,0.998578,0.236001,2,5,0,64.44,0.846682
-62.2091,0.999535,0.236001,2,5,0,63.1223,0.823982
-62.1151,0.999306,0.236001,1,3,0,62.2871,0.819777
-61.8848,0.999948,0.236001,3,15,0,62.1308,0.789121
-61.874,0.999756,0.236001,2,7,0,61.9186,0.797537
-61.8946,0.999423,0.236001,2,7,0,61.924,0.802832
-61.8861,0.999456,0.236001,4,15,0,61.9896,0.788838
-62.0738,0.997514,0.236001,4,15,0,62.2352,0.817647
-61.8731,0.998419,0.236001,3,11,0,62.3444,0.793121
-62.2492,0.996144,0.236001,3,11,0,62.3055,0.825584
-62.0282,0.999529,0.236001,2,5,0,62.3365,0.815011
-61.891,0.999696,0.236001,3,9,0,62.096,0.787842
