# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_SimpleBernoulli_logodds_model
# start_datetime = 2024-02-26 09:55:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac464012a2.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli_logodds-202402261055-1-851e48.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli_logodds-profile-202402261055-1-166edb.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_SimpleBernoulli_logodds_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.396718
# Diagonal elements of inverse mass matrix:
# 0.0589427
-63.7094,0.94976,0.396718,2,5,0,64.4164,0.91597
-63.8234,0.999038,0.396718,3,7,0,63.8819,0.904007
-62.5628,1,0.396718,3,7,0,63.7528,1.06966
-62.2881,1,0.396718,2,3,0,62.5783,1.12538
-63.4262,0.972794,0.396718,3,7,0,63.619,0.947513
-63.2008,1,0.396718,1,1,0,63.4215,0.974885
-62.1774,0.96205,0.396718,1,3,0,64.2343,1.1534
-62.1821,0.999918,0.396718,2,3,0,62.1953,1.15212
-61.8838,1,0.396718,2,7,0,62.171,1.30302
-61.9292,0.998419,0.396718,3,15,0,61.9402,1.38702
-62.5994,0.960619,0.396718,2,7,0,63.4395,1.0632
-62.528,1,0.396718,1,1,0,62.6058,1.07597
-62.0327,0.982155,0.396718,1,3,0,63.03,1.20004
-62.1805,0.994343,0.396718,2,3,0,62.1852,1.15255
-62.1561,0.991171,0.396718,3,7,0,62.6514,1.15937
-62.3655,0.993578,0.396718,3,7,0,62.5206,1.10811
-62.3201,1,0.396718,1,1,0,62.3705,1.11805
-62.9417,0.959822,0.396718,1,3,0,63.2514,1.0096
-62.1852,0.97827,0.396718,1,3,0,63.5432,1.15126
-63.23,0.911941,0.396718,1,3,0,64.3324,0.971211
-63.0635,1,0.396718,1,1,0,63.2333,0.992774
-63.2939,0.987048,0.396718,2,3,0,63.5163,0.963301
-62.0112,0.956165,0.396718,2,7,0,65.0418,1.43148
-62.0043,0.987646,0.396718,2,5,0,62.5372,1.21167
-62.4248,0.981068,0.396718,2,5,0,62.7189,1.55164
-62.2376,1,0.396718,3,7,0,62.4377,1.50656
-62.1413,0.999794,0.396718,2,3,0,62.2573,1.47879
-61.944,0.99992,0.396718,2,7,0,62.1424,1.39691
-61.9375,1,0.396718,1,1,0,61.9443,1.39277
-61.9901,0.99061,0.396718,2,7,0,62.2999,1.218
-61.8814,0.998458,0.396718,2,7,0,62.0601,1.32349
-61.8845,0.999834,0.396718,3,7,0,61.8881,1.33683
-62.0609,0.994604,0.396718,2,7,0,62.0635,1.45149
-62.5045,0.967497,0.396718,1,3,0,62.9848,1.56851
-63.4205,0.94122,0.396718,3,7,0,65.4378,1.71673
-62.5206,0.985175,0.396718,1,3,0,64.0389,1.57179
-61.9753,0.996031,0.396718,2,5,0,62.7611,1.22502
-61.8981,0.996052,0.396718,2,7,0,62.1343,1.35934
-62.8148,0.963148,0.396718,2,7,0,63.2354,1.62605
-62.933,0.995243,0.396718,1,1,0,62.9378,1.64551
-62.0325,0.947875,0.396718,3,7,0,65.782,1.44043
-62.3664,0.976906,0.396718,3,7,0,63.0769,1.5385
-62.2667,0.978803,0.396718,3,7,0,63.5164,1.5142
-62.849,0.964316,0.396718,1,3,0,63.2833,1.6318
-61.9728,0.998074,0.396718,2,5,0,63.0092,1.41326
-61.8847,0.999849,0.396718,3,7,0,61.9886,1.30068
-61.9227,0.990443,0.396718,2,5,0,62.2299,1.38222
-61.9959,0.996627,0.396718,2,7,0,62.0525,1.42459
-62.1153,0.993517,0.396718,1,3,0,62.1697,1.47049
-62.0978,0.978985,0.396718,2,7,0,63.0494,1.17709
-62.0939,1,0.396718,1,1,0,62.1068,1.17834
-61.8923,0.995534,0.396718,2,7,0,62.3234,1.35167
-61.933,0.996532,0.396718,1,3,0,61.9858,1.38972
-61.9219,0.978991,0.396718,2,5,0,62.7852,1.25703
-61.8816,0.999975,0.396718,2,7,0,61.9244,1.32548
-61.9068,0.998973,0.396718,2,5,0,61.9171,1.36864
-61.885,0.999836,0.396718,2,5,0,61.9159,1.29982
-63.325,0.951318,0.396718,2,7,0,63.4971,1.70371
-63.2266,1,0.396718,1,1,0,63.3421,1.68988
-61.9329,0.993787,0.396718,2,7,0,63.6585,1.38962
-61.8867,0.999811,0.396718,2,7,0,61.9475,1.29606
-61.9285,0.998686,0.396718,3,7,0,61.9439,1.25216
-61.8881,0.998533,0.396718,2,7,0,62.0023,1.34475
-62.0628,0.98008,0.396718,3,7,0,62.7449,1.18891
