# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_SimpleBernoulli_model
# start_datetime = 2024-02-26 09:28:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac701461c4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-202402261028-2-0a37f7.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-profile-202402261028-2-594215.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_SimpleBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.337039
# Diagonal elements of inverse mass matrix:
# 0.0514756
-62.1181,0.999915,0.337039,3,9,0,62.2281,0.768654
-61.9754,0.994979,0.337039,4,15,0,62.5918,0.778114
-62.6742,0.982074,0.337039,2,5,0,62.9621,0.746324
-63.0012,0.963624,0.337039,4,15,0,65.5931,0.736729
-62.9946,0.99633,0.337039,3,9,0,63.4018,0.846056
-63.0904,0.997787,0.337039,1,1,0,63.0916,0.848013
-63.8968,0.989166,0.337039,4,15,0,64.6758,0.715538
-63.9564,0.997836,0.337039,1,1,0,64.0005,0.714296
-63.8044,1,0.337039,1,1,0,63.9655,0.717495
-62.9021,0.987385,0.337039,1,3,0,64.3708,0.739486
-62.9657,0.997813,0.337039,1,1,0,62.9765,0.737704
-63.6152,0.974565,0.337039,1,3,0,63.8763,0.721641
-61.974,1,0.337039,3,7,0,63.5889,0.778226
-61.9043,0.992747,0.337039,3,9,0,62.4126,0.804313
-62.1317,0.9944,0.337039,2,5,0,62.2531,0.820573
-61.8835,0.997663,0.337039,3,9,0,62.3372,0.800655
-61.9384,0.998697,0.337039,2,5,0,61.9597,0.808207
-61.8724,0.999655,0.337039,2,5,0,61.9711,0.793754
-61.8883,0.999074,0.337039,2,5,0,61.9267,0.801683
-61.9356,0.995024,0.337039,2,7,0,62.1884,0.78181
-61.9096,1,0.337039,2,3,0,61.9349,0.784905
-62.4136,0.985029,0.337039,2,7,0,62.8839,0.831321
-61.9157,0.996553,0.337039,2,7,0,62.7521,0.805773
-61.8734,0.999952,0.337039,2,5,0,61.9208,0.797186
-62.0603,0.99752,0.337039,4,15,0,62.0614,0.772045
-61.9637,0.998277,0.337039,1,3,0,62.1472,0.779117
-61.8717,0.999625,0.337039,2,5,0,61.9944,0.795387
-61.8731,0.999978,0.337039,4,15,0,61.8734,0.793171
-62.0455,0.978772,0.337039,2,7,0,63.0988,0.772992
-62.2267,0.995825,0.337039,3,9,0,62.3415,0.824697
-61.8717,0.999846,0.337039,3,9,0,62.2354,0.79517
-62.6836,0.980245,0.337039,2,5,0,62.9336,0.746026
-62.2979,0.994177,0.337039,1,3,0,62.9563,0.760015
-62.2586,1,0.337039,1,1,0,62.2975,0.761731
-62.4683,0.992312,0.337039,1,3,0,62.5499,0.753321
-62.7587,0.988576,0.337039,2,3,0,62.8962,0.743697
-62.658,1,0.337039,1,1,0,62.7555,0.746841
-62.7131,0.99938,0.337039,2,3,0,62.7195,0.745099
-62.6473,0.999066,0.337039,2,3,0,62.7933,0.747186
-61.9717,0.966646,0.337039,2,5,0,64.7041,0.778419
-61.9621,0.999524,0.337039,2,3,0,61.9979,0.779255
-61.8731,0.986968,0.337039,2,7,0,62.8275,0.797002
-61.9326,0.997937,0.337039,2,7,0,61.9917,0.807637
-62.3186,0.98691,0.337039,3,9,0,62.7614,0.759143
-61.9158,0.999014,0.337039,3,7,0,62.4277,0.784087
-62.0457,0.995187,0.337039,4,15,0,62.2909,0.772975
-62.0461,0.999996,0.337039,2,3,0,62.0512,0.772951
-62.0353,1,0.337039,1,1,0,62.047,0.773664
-61.891,0.998611,0.337039,2,7,0,62.1868,0.802199
-61.9539,0.976175,0.337039,2,7,0,63.3777,0.780002
-61.898,0.998484,0.337039,2,5,0,62.0487,0.786615
-61.924,0.995356,0.337039,2,7,0,62.2049,0.806735
-62.0575,0.994855,0.337039,2,7,0,62.3218,0.772221
-62.0952,0.997934,0.337039,2,3,0,62.1459,0.769949
-61.9704,0.997383,0.337039,1,3,0,62.2294,0.778537
-62.0194,0.999464,0.337039,3,9,0,62.0219,0.814461
-61.8724,0.998166,0.337039,2,7,0,62.2003,0.796469
-64.0315,0.949373,0.337039,2,5,0,64.6854,0.712753
