# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_MemoryBernoulli_model
# start_datetime = 2024-02-26 12:05:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac265bcf4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-202402261305-2-21ec3d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-profile-202402261305-2-18cddb.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_MemoryBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bias,beta
# Adaptation terminated
# Step size = 0.178265
# Diagonal elements of inverse mass matrix:
# 0.0391639, 0.0328065
-78.1081,0.99865,0.178265,4,23,0,79.1708,0.117292,0.318716
-78.3513,0.995305,0.178265,4,31,0,79.152,0.0938035,0.453241
-80.4088,0.9877,0.178265,4,15,0,80.8189,-0.273315,0.482753
-79.0207,0.997077,0.178265,4,23,0,81.1326,0.32816,0.396975
-79.2627,0.990072,0.178265,4,23,0,81.9277,-0.163139,0.559766
-80.0288,0.977115,0.178265,4,19,0,82.0113,0.321602,0.492644
-80.2999,0.996507,0.178265,3,7,0,80.609,0.322958,0.511414
-78.2411,0.978774,0.178265,3,11,0,82.8083,0.170035,0.402301
-78.5081,0.993397,0.178265,3,15,0,79.0587,0.321078,0.335116
-78.7258,0.995977,0.178265,4,19,0,79.3667,0.334284,0.0698038
-78.8728,0.999202,0.178265,4,15,0,79.0087,0.484154,0.174539
-79.4328,0.933441,0.178265,2,7,0,84.7072,0.333832,-0.00347723
-79.9555,0.995883,0.178265,3,7,0,80.0665,0.347147,-0.0497538
-81.1423,0.988039,0.178265,4,15,0,83.0954,0.519079,-0.182424
-79.915,0.989834,0.178265,2,7,0,82.1429,0.575495,-0.0752236
-78.6617,0.99999,0.178265,4,15,0,80.0485,0.458038,0.140086
-80.5564,0.994188,0.178265,4,23,0,82.0282,-0.324231,0.678703
-79.5739,0.960534,0.178265,4,15,0,85.2296,0.403166,0.383292
-78.2709,0.997884,0.178265,3,11,0,80.0528,0.345989,0.245506
-80.7699,0.989926,0.178265,4,15,0,81.9636,0.549475,-0.160634
-79.6149,0.999055,0.178265,4,31,0,82.7223,-0.0957798,0.661842
-78.2492,0.999625,0.178265,4,23,0,80.5961,0.241801,0.17828
-78.1963,0.999904,0.178265,2,3,0,78.2615,0.240472,0.190885
-78.6552,0.998476,0.178265,4,31,0,79.1932,0.455418,0.122194
-80.0941,0.997757,0.178265,5,31,0,80.5463,0.617895,-0.0795714
-79.3024,0.998196,0.178265,3,11,0,81.2295,0.537246,0.00601482
-78.6296,0.990301,0.178265,4,15,0,80.5016,0.451177,0.132223
-78.5244,0.999705,0.178265,4,15,0,78.7595,0.347241,0.0977067
-79.3924,0.988515,0.178265,3,7,0,79.3929,0.306735,0.0110279
-79.04,0.995204,0.178265,4,15,0,80.3896,0.359088,0.0257289
-79.3594,0.994419,0.178265,4,23,0,81.5521,0.0663031,0.59567
-79.0544,0.999923,0.178265,4,15,0,79.6854,-0.0993362,0.395774
-79.0134,0.997822,0.178265,4,31,0,80.4494,0.443519,0.273445
-78.4634,0.998485,0.178265,3,7,0,79.243,0.397709,0.22356
-80.1321,0.99541,0.178265,4,15,0,80.4085,0.537239,-0.105749
-78.2462,1,0.178265,4,31,0,80.6165,0.24614,0.353605
-78.3404,0.998387,0.178265,4,31,0,78.6987,0.337598,0.281809
-79.6806,0.998242,0.178265,4,23,0,80.2597,0.518201,-0.0594985
-78.3857,0.999021,0.178265,4,23,0,80.6332,0.18624,0.420956
-78.9183,0.987475,0.178265,3,15,0,79.638,0.335918,0.378277
-78.7615,0.998256,0.178265,3,15,0,79.3148,0.270556,0.415089
-79.0353,0.99961,0.178265,4,19,0,79.2901,0.294021,0.0491722
-80.1788,0.975884,0.178265,3,7,0,81.1936,0.116968,0.0654281
-80.0918,0.981105,0.178265,3,7,0,82.4657,-0.0115323,0.176457
-78.0665,0.996564,0.178265,3,7,0,80.7989,0.239046,0.302048
-78.4346,0.994837,0.178265,4,31,0,78.8542,0.130657,0.45691
-78.3878,0.999985,0.178265,4,15,0,78.5766,0.0761522,0.464234
-79.4029,0.990745,0.178265,4,15,0,79.5355,0.203486,0.527085
-78.8798,0.998907,0.178265,3,15,0,79.796,-0.0300157,0.320661
-78.8235,0.993549,0.178265,3,11,0,79.652,0.179735,0.484255
-78.3396,0.998205,0.178265,3,11,0,79.2471,0.0182832,0.421637
-79.445,0.99773,0.178265,4,31,0,79.494,-0.122903,0.637448
-78.5241,0.986218,0.178265,4,15,0,81.1651,0.136391,0.200369
-78.0756,0.995469,0.178265,3,11,0,79.1689,0.27384,0.252025
-78.1404,0.998852,0.178265,4,23,0,78.2463,0.174153,0.244547
-79.2164,0.985963,0.178265,3,9,0,79.4201,0.33059,0.415391
-78.4095,0.99836,0.178265,3,7,0,79.5575,0.294011,0.34408
-80.7319,0.985761,0.178265,4,31,0,81.6969,0.465374,-0.142646
-80.1892,0.998286,0.178265,4,15,0,81.7427,0.6716,-0.0138627
-79.7016,1,0.178265,3,7,0,80.2053,0.596245,-0.0243863
-79.5108,0.99983,0.178265,3,7,0,79.775,0.543441,-0.029478
-78.9035,0.993317,0.178265,3,15,0,80.5576,0.289422,0.0646909
-79.0143,0.998305,0.178265,2,3,0,79.0352,0.282933,0.0561235
-79.0904,0.986854,0.178265,3,7,0,80.1901,0.3109,0.0367793
-80.7777,0.984122,0.178265,4,31,0,83.0558,0.00054203,0.735429
-81.354,0.998441,0.178265,4,15,0,82.0681,-0.362032,0.521696
-79.8192,0.994557,0.178265,4,15,0,82.4088,0.336943,0.463854
-81.088,0.988538,0.178265,3,7,0,81.2671,0.425018,0.479008
-79.1623,0.996285,0.178265,4,21,0,82.9414,0.258317,0.467559
